mask_seed,observation_ratio,Method,E_c,E_w,E_x,missing_edge_MAE,validation_window_count,ASGC_evaluation_protocol
2027106,0.4,Raw-GAT,10.811243377625942,0.14612115746921775,1.5943127993945359,0.21003877075219696,3427,raw_gat
2027106,0.4,ASGC,4.31644171621469,0.07165011870032735,1.4261941976907149,0.21003877075219696,3427,frozen_original_5_seed_final_model
2027106,0.7,Raw-GAT,5.162991493940353,0.09428993763186994,0.8384009097661015,0.19765771451321515,3427,raw_gat
2027106,0.7,ASGC,3.775610656502481,0.06607340984624728,1.0294503106091528,0.19765771451321515,3427,frozen_original_5_seed_final_model
2027107,0.4,Raw-GAT,13.069409780204296,0.12956920254648466,1.0647155034407032,0.24211102901873263,3427,raw_gat
2027107,0.4,ASGC,6.203718392238872,0.11027841058410731,1.088406641543331,0.24211102901873263,3427,frozen_original_5_seed_final_model
2027107,0.7,Raw-GAT,6.746632628142834,0.12005770025568263,0.8367009730226402,0.2038100129840049,3427,raw_gat
2027107,0.7,ASGC,4.842882181766066,0.08216539879387746,0.8972867444615854,0.2038100129840049,3427,frozen_original_5_seed_final_model
2027108,0.4,Raw-GAT,8.52658885717392,0.1339284469823485,1.2343388801678719,0.19528330134397204,3427,raw_gat
2027108,0.4,ASGC,5.942520998183657,0.10434639731237742,1.3873019772646553,0.19528330134397204,3427,frozen_original_5_seed_final_model
2027108,0.7,Raw-GAT,5.89749152213335,0.10308002491508976,0.5339683902192007,0.1890217870135199,3427,raw_gat
2027108,0.7,ASGC,5.817219006106938,0.10229156866312897,1.1691013778340011,0.1890217870135199,3427,frozen_original_5_seed_final_model
2027109,0.4,Raw-GAT,10.504017643630505,0.10826062924715538,1.5122501432869737,0.23633079493249004,3427,raw_gat
2027109,0.4,ASGC,5.733782441114601,0.0991691134343623,1.152428414288643,0.23633079493249004,3427,frozen_original_5_seed_final_model
2027109,0.7,Raw-GAT,4.412475660443306,0.07675391956873644,0.8535757454412932,0.20330643552270802,3427,raw_gat
2027109,0.7,ASGC,4.306285563870198,0.07582919186371742,0.9489735690308133,0.20330643552270802,3427,frozen_original_5_seed_final_model
2027110,0.4,Raw-GAT,14.815541952848434,0.26964553054703233,4.596672238303098,0.25264569625935773,3427,raw_gat
2027110,0.4,ASGC,8.574410212817371,0.14592427071957462,1.911467069265772,0.25264569625935773,3427,frozen_original_5_seed_final_model
2027110,0.7,Raw-GAT,7.792929545044899,0.1267017577770532,1.8533166872354303,0.23480204188010909,3427,raw_gat
2027110,0.7,ASGC,5.075952239855604,0.08700551633342483,1.2442842561086491,0.23480204188010909,3427,frozen_original_5_seed_final_model
2027111,0.4,Raw-GAT,6.945749953389168,0.12226794646143162,0.65149277612699,0.23377819528633897,3427,raw_gat
2027111,0.4,ASGC,6.686364307533109,0.11818765383401737,0.9746599621169179,0.23377819528633897,3427,frozen_original_5_seed_final_model
2027111,0.7,Raw-GAT,5.091142870485783,0.09391065394818605,1.283070298042062,0.21015961180356416,3427,raw_gat
2027111,0.7,ASGC,4.745453639750708,0.08395585891269143,1.4360009225160524,0.21015961180356416,3427,frozen_original_5_seed_final_model
2027112,0.4,Raw-GAT,6.406905308365822,0.11092727820439989,0.9021586688887516,0.22893439724364065,3427,raw_gat
2027112,0.4,ASGC,6.62680345041438,0.10984628052378642,0.7761588721578968,0.22893439724364065,3427,frozen_original_5_seed_final_model
2027112,0.7,Raw-GAT,4.350422747433186,0.07087475131501943,0.6000086546828189,0.2145533509213816,3427,raw_gat
2027112,0.7,ASGC,3.9291516429933964,0.06590986232715264,1.011117232329031,0.2145533509213816,3427,frozen_original_5_seed_final_model
2027113,0.4,Raw-GAT,6.11502768099308,0.10870038946095609,1.121787298796335,0.2286373358219862,3427,raw_gat
2027113,0.4,ASGC,5.379627481895854,0.09686795701144836,0.80485664891908,0.2286373358219862,3427,frozen_original_5_seed_final_model
2027113,0.7,Raw-GAT,5.797641918063164,0.10725272541523173,0.9214799509550453,0.21497657590291716,3427,raw_gat
2027113,0.7,ASGC,4.715722529063287,0.07988215206374799,0.9181964903133658,0.21497657590291716,3427,frozen_original_5_seed_final_model
2027114,0.4,Raw-GAT,9.264776162803173,0.14793573650265288,1.8381535381451097,0.20842681240967728,3427,raw_gat
2027114,0.4,ASGC,5.048901930797657,0.08920614768599326,0.8228215394265098,0.20842681240967728,3427,frozen_original_5_seed_final_model
2027114,0.7,Raw-GAT,4.456264428794384,0.08375488234935584,0.5382116888650897,0.22505416297777134,3427,raw_gat
2027114,0.7,ASGC,4.514464563698162,0.08121189756517395,0.7572185207096529,0.22505416297777134,3427,frozen_original_5_seed_final_model
2027115,0.4,Raw-GAT,8.245378896594048,0.14230893655991125,2.079077255438609,0.21389890970154243,3427,raw_gat
2027115,0.4,ASGC,6.15463744509265,0.10919334294842693,1.4297141749557383,0.21389890970154243,3427,frozen_original_5_seed_final_model
2027115,0.7,Raw-GAT,5.56103141605854,0.10293841577634504,1.876221831792495,0.20423509180545807,3427,raw_gat
2027115,0.7,ASGC,5.025809743528973,0.08843444668572902,1.5062196288918752,0.20423509180545807,3427,frozen_original_5_seed_final_model
