base_graph_id,scenario_id,assessment_missing_rate,signal_profile,base_replicate_index,observation_ratio,observation_ratio_percent,observed_edge_count,missing_edge_count,Method,missing_edge_MAE,E_c,E_w,E_x,scenario_global_observed_edge_mean,node_mean_global_fallback_count,completed_edge_matrix_sha256,observation_mask_sha256
G01,ROB_G01_R40,0.1,baseline,0,0.4,40,36,54,Raw-GAT,0.1575572839128414,6.3356480193112255,0.17061349676574156,0.002701459600371056,0.3614219448478554,0,5699e0be9fc232552d16b9a2b25d8a953fb8cf24770d3ff7869e21137d07e498,c5b969201f3c3cd3b05137c3a6132156753ffed6d68d2afe9502b8c91ac82251
G01,ROB_G01_R40,0.1,baseline,0,0.4,40,36,54,GlobalMean,0.15897791504909492,6.433199182048531,0.17359227506682842,0.0027285528110621107,0.3614219448478554,0,6962f26d82d4e628f69eeb48f61e9f77b5cb5e0e0c09890cf6ea163be8a94cb2,c5b969201f3c3cd3b05137c3a6132156753ffed6d68d2afe9502b8c91ac82251
G01,ROB_G01_R40,0.1,baseline,0,0.4,40,36,54,NodeMean,0.1484734833446357,5.652636101309668,0.1573405047611395,0.0037985073979880575,0.3614219448478554,0,4db12df0dfdf7bf1c27f53ec0026439466d6e8091ea2db5ec4a40601e1024bc6,c5b969201f3c3cd3b05137c3a6132156753ffed6d68d2afe9502b8c91ac82251
G01,ROB_G01_R40,0.1,baseline,0,0.4,40,36,54,ASGC,0.1575572839128414,5.561022069072241,0.15514424527451648,0.002429775537053976,0.3614219448478554,0,5699e0be9fc232552d16b9a2b25d8a953fb8cf24770d3ff7869e21137d07e498,c5b969201f3c3cd3b05137c3a6132156753ffed6d68d2afe9502b8c91ac82251
G01,ROB_G01_R55,0.1,baseline,0,0.55,55,50,40,Raw-GAT,0.15506138314367485,4.584820137910853,0.12572316083994628,0.002362595227331995,0.3831776459450565,0,47ce9fd39dcc5bfaa8e971a548aebeadf603483cd0c9ad3b270ee1c90ca70b61,7578c7b1f341d161529e85e889f8e680faa6b7aaff79792c49e9081dbec4c192
G01,ROB_G01_R55,0.1,baseline,0,0.55,55,50,40,GlobalMean,0.15783523248631176,4.959627430663478,0.13461133069315867,0.002412144823060284,0.3831776459450565,0,6ed75ed402aebdaa7cebbf91d8d65a774b0bccf12e33642522bd7252bc3d6a71,7578c7b1f341d161529e85e889f8e680faa6b7aaff79792c49e9081dbec4c192
G01,ROB_G01_R55,0.1,baseline,0,0.55,55,50,40,NodeMean,0.12969786776586212,2.872044194500588,0.07853714767811693,0.0012678647539890507,0.3831776459450565,0,78aec9a5f29b4843fd4a7f5647659bc725e12729aa1741c7b1f810537388892c,7578c7b1f341d161529e85e889f8e680faa6b7aaff79792c49e9081dbec4c192
G01,ROB_G01_R55,0.1,baseline,0,0.55,55,50,40,ASGC,0.15506138314367485,3.472379935468526,0.09596713231046158,0.0017644946616648671,0.3831776459450565,0,47ce9fd39dcc5bfaa8e971a548aebeadf603483cd0c9ad3b270ee1c90ca70b61,7578c7b1f341d161529e85e889f8e680faa6b7aaff79792c49e9081dbec4c192
G01,ROB_G01_R70,0.1,baseline,0,0.7,70,63,27,Raw-GAT,0.14978551354487185,3.2360045878405033,0.09748148966977782,0.0017368937119240236,0.37950051373894705,0,7bbe80a85be15fd68a4363bb6e41e48211c233a6789c8566586ff505b4d6bb81,94b9672cfb369f2105372e0f70d466d0b85d95fc10a53e5b45157a3363ccbf9d
G01,ROB_G01_R70,0.1,baseline,0,0.7,70,63,27,GlobalMean,0.14959843382974386,3.232936080991567,0.09705781620856921,0.0017204386560636675,0.37950051373894705,0,aa2ed806ba40738d48e72ca52eeb86a69416964584f2901fe9bc32f6b08b2a92,94b9672cfb369f2105372e0f70d466d0b85d95fc10a53e5b45157a3363ccbf9d
G01,ROB_G01_R70,0.1,baseline,0,0.7,70,63,27,NodeMean,0.13519581925822685,2.727590347605898,0.07995329547301991,0.00152997045106469,0.37950051373894705,0,fbd2ed9913d76d27d0298d00fce919ef0c6f2658dc91d0caf4f86202dc5f8360,94b9672cfb369f2105372e0f70d466d0b85d95fc10a53e5b45157a3363ccbf9d
G01,ROB_G01_R70,0.1,baseline,0,0.7,70,63,27,ASGC,0.14978551354487185,2.446432972236331,0.07465770861765349,0.0015672492066479214,0.37950051373894705,0,7bbe80a85be15fd68a4363bb6e41e48211c233a6789c8566586ff505b4d6bb81,94b9672cfb369f2105372e0f70d466d0b85d95fc10a53e5b45157a3363ccbf9d
G02,ROB_G02_R40,0.1,baseline,1,0.4,40,36,54,Raw-GAT,0.13008899529504403,3.6264640903409426,0.0755665435227941,0.003434230812116242,0.4745501857136699,0,0f2bb67f5378544d0238bb7c6158e3dcb16b488d35dbc133f2e0b4078b57876d,3fbd51f7e1a43733763925b693fcd3633d3aebb110266eba4348fb1f3a6cec50
G02,ROB_G02_R40,0.1,baseline,1,0.4,40,36,54,GlobalMean,0.14331741587667163,4.267671529789128,0.08460154079804263,0.003931061676442927,0.4745501857136699,0,d1e0e1030f300fa13800dc29a3676762cc5f67d59cba3c5ef306aa0f564e75e4,3fbd51f7e1a43733763925b693fcd3633d3aebb110266eba4348fb1f3a6cec50
G02,ROB_G02_R40,0.1,baseline,1,0.4,40,36,54,NodeMean,0.15455135195403927,5.596242311354437,0.11352838413354273,0.0024111471188723106,0.4745501857136699,0,fe3047cda92bd03402602d90a5dad43297945e5ba6742654627ae1aea23cef64,3fbd51f7e1a43733763925b693fcd3633d3aebb110266eba4348fb1f3a6cec50
G02,ROB_G02_R40,0.1,baseline,1,0.4,40,36,54,ASGC,0.13008899529504403,3.722914781360703,0.07336444630818269,0.0032090805951982323,0.4745501857136699,0,0f2bb67f5378544d0238bb7c6158e3dcb16b488d35dbc133f2e0b4078b57876d,3fbd51f7e1a43733763925b693fcd3633d3aebb110266eba4348fb1f3a6cec50
G02,ROB_G02_R55,0.1,baseline,1,0.55,55,50,40,Raw-GAT,0.15581082579885935,4.504229623158637,0.08225542459568361,0.0037264677753046592,0.4756451923679502,0,52043883b1c15bea1e19bd3b680bd062b940d51d22dc512f9fa2ac8e646507e7,a14e2656039bfa08b8c12fe48eb7655e3797d3b93726537a1a303d4d6193c25a
G02,ROB_G02_R55,0.1,baseline,1,0.55,55,50,40,GlobalMean,0.1457312650132913,3.854069446228557,0.0746865389890588,0.0036031019236056274,0.4756451923679502,0,696475d477ae8b5d4617497da7fadb06bedfee894a09fdd447c27b26965f505f,a14e2656039bfa08b8c12fe48eb7655e3797d3b93726537a1a303d4d6193c25a
G02,ROB_G02_R55,0.1,baseline,1,0.55,55,50,40,NodeMean,0.14880672618098903,3.9326710095284354,0.08107565016620266,0.0036561491150704823,0.4756451923679502,0,7c754d1f77b2a62f48c3349a14ca1b5e8d9b5b6c04ffbac19fb15bbabcd369cd,a14e2656039bfa08b8c12fe48eb7655e3797d3b93726537a1a303d4d6193c25a
G02,ROB_G02_R55,0.1,baseline,1,0.55,55,50,40,ASGC,0.15581082579885935,3.852717504744899,0.07093110175203146,0.0035894831259685404,0.4756451923679502,0,52043883b1c15bea1e19bd3b680bd062b940d51d22dc512f9fa2ac8e646507e7,a14e2656039bfa08b8c12fe48eb7655e3797d3b93726537a1a303d4d6193c25a
G02,ROB_G02_R70,0.1,baseline,1,0.7,70,63,27,Raw-GAT,0.1403776987453877,2.562519158972022,0.04714461507989322,0.002743857011854781,0.48028394306554556,0,c77efda3d3a6d0a6d1bad8a43e8e2eb710ddaad7da7159ceb90afe92ec9fd345,89db1e946d22419aaff043f73a571e63cc76862597e23fb9a64bd9a27d0aad82
G02,ROB_G02_R70,0.1,baseline,1,0.7,70,63,27,GlobalMean,0.13785973525910045,2.185187529652328,0.04425925755668293,0.002519410276859505,0.48028394306554556,0,4db51e3af1896e692b53f21ca26b75d28e23abe9f302176df718b931491be4eb,89db1e946d22419aaff043f73a571e63cc76862597e23fb9a64bd9a27d0aad82
G02,ROB_G02_R70,0.1,baseline,1,0.7,70,63,27,NodeMean,0.1509022152314568,2.8010259091979055,0.07174592543743769,0.0023521878582767595,0.48028394306554556,0,8c1bbf18e4254f257a013d67463c47a267c629e53656fd6b124bfa7b7379f401,89db1e946d22419aaff043f73a571e63cc76862597e23fb9a64bd9a27d0aad82
G02,ROB_G02_R70,0.1,baseline,1,0.7,70,63,27,ASGC,0.1403776987453877,2.106177061192274,0.05166814224284419,0.002257760689890604,0.48028394306554556,0,c77efda3d3a6d0a6d1bad8a43e8e2eb710ddaad7da7159ceb90afe92ec9fd345,89db1e946d22419aaff043f73a571e63cc76862597e23fb9a64bd9a27d0aad82
G03,ROB_G03_R40,0.1,two_camp_moderate,0,0.4,40,36,54,Raw-GAT,0.1880192120776479,7.6323023540543105,0.14043293626421371,0.018234093193348313,0.5397794555370535,0,d5c2e12b52c489659716a50dc7f0504a8dd5a9b0848dda7bd1538f5fa1657384,cbc042756813c17e5e30c7fc637b88d18eb2edbd5441b037824d88545be6b142
G03,ROB_G03_R40,0.1,two_camp_moderate,0,0.4,40,36,54,GlobalMean,0.1493526684438726,4.492306266682091,0.09317621457448975,0.005051779722724767,0.5397794555370535,0,bcc6201300a1b76286aed5869c12752c278f2fa600a6fb74f90e4c4f07ec7dae,cbc042756813c17e5e30c7fc637b88d18eb2edbd5441b037824d88545be6b142
